"KATO","ZONE_EN","ZONE_KK","ZONE_RU","ADM1_RU","ADM2_RU","ADM2_PCODE"
"155200000","Semi-desert","Жартылай шөл","Полупустынная","Актюбинская","Уилский","KZ155200"
"196600000","Foothill-desert-steppe","Тау етегі-шөл-дала","Предгорно-пустынно-степная","Алматинская","Уйгурский","KZ196600"
"636200000","South Siberian mountain and foothill","Оңтүстік Сібір тауы мен тау бөктері","Южно-Сибирская горная и предгорная","В-Казахстанская","Уланский","KZ636200"
"356000000","Semi-desert","Жартылай шөл","Полупустынная","Карагандинская","Улытауский","KZ356000"
"271000000","Dry-steppe",NA,"Сухостепная","З-Казахстанская","Уральск","KZ271000"
"636400000","Foothill-desert-steppe","Тау етегі-шөл-дала","Предгорно-пустынно-степная","В-Казахстанская","Урджарский","KZ636400"
"556400000","Dry-steppe",NA,"Сухостепная","Павлодарская","Успенский","KZ556400"
"631000000","South Siberian mountain and foothill","Оңтүстік Сібір тауы мен тау бөктері","Южно-Сибирская горная и предгорная","В-Казахстанская","Усть-Каменогорск","KZ631000"
"396800000","Steppe","Дала","Степная","Костанайская","Федоровский","KZ396800"
"154200000","Dry-steppe",NA,"Сухостепная","Актюбинская","Хобдинский","KZ154200"
"156000000","Semi-desert","Жартылай шөл","Полупустынная","Актюбинская","Хромтауский","KZ156000"
"116600000","Dry-steppe",NA,"Сухостепная","Акмолинская","Целиноградский","KZ116600"
"435200000","Desert","Шөл","Пустынная","Кызылординская","Чиилийский","KZ435200"
"276600000","Dry-steppe",NA,"Сухостепная","З-Казахстанская","Чингирлауский","KZ276600"
"595600000","Steppe","Дала","Степная","С-Казахстанская","Шал Акын","KZ595600"
"156400000","Desert","Шөл","Пустынная","Актюбинская","Шалкарский","KZ156400"
"616400000","Foothill-desert-steppe","Тау етегі-шөл-дала","Предгорно-пустынно-степная","Туркестанская","Шардаринский","KZ616400"
"352800000","Dry-steppe",NA,"Сухостепная","Карагандинская","Шахтинск","KZ352800"
"636800000","South Siberian mountain and foothill","Оңтүстік Сібір тауы мен тау бөктері","Южно-Сибирская горная и предгорная","В-Казахстанская","Шемонаихинский","KZ636800"
"356400000","Semi-desert","Жартылай шөл","Полупустынная","Карагандинская","Шетский","KZ356400"
"116800000","Dry-steppe",NA,"Сухостепная","Акмолинская","Шортандинский","KZ116800"
"316600000","Foothill-desert-steppe","Тау етегі-шөл-дала","Предгорно-пустынно-степная","Жамбылская","Шуский","KZ316600"
"556800000","Dry-steppe",NA,"Сухостепная","Павлодарская","Щербактинский","KZ556800"
"552200000","Dry-steppe",NA,"Сухостепная","Павлодарская","Экибастуз","KZ552200"
